año,NCODI,pacienteTot_med,sesionTot_med,pacienteTot_psiquia,sesionTot_psiquia,pacienteTot_geria,sesionTot_geria
2016,7.5300000000000000e+02,8609,56705,51,3310,0,0
2016,8.8700000000000000e+02,0,0,0,0,0,0
2016,2.4500000000000000e+02,0,0,0,0,0,0
2016,6.0300000000000000e+02,598,598,0,0,0,0
2016,4.2600000000000000e+02,0,0,0,0,0,0
2016,2.3200000000000000e+02,0,0,0,0,0,0
2016,2.8800000000000000e+02,332,5644,0,0,0,0
2016,2.4600000000000000e+02,0,0,0,0,0,0
2016,2.8400000000000000e+02,0,0,0,0,0,0
2016,1.8000000000000000e+01,0,0,0,0,0,0
2016,3.5600000000000000e+02,0,0,270,11894,0,0
2016,4.0100000000000000e+02,56,3871,0,0,0,0
2016,7.3300000000000000e+02,26652,83985,1760,13638,0,0
2016,2.4300000000000000e+02,0,0,0,0,0,0
2016,3.8000000000000000e+02,0,0,0,0,0,0
2016,7.1600000000000000e+02,715,2351,0,0,0,0
2016,5.3400000000000000e+02,99,742,0,0,0,0
2016,1.8500000000000000e+02,0,0,0,0,0,0
2016,2.5800000000000000e+02,397,2265,2,2,0,0
2016,5.0500000000000000e+02,2635,2635,0,0,0,0
2016,2.6800000000000000e+02,1050,3360,0,0,0,0
2016,6.0200000000000000e+02,3206,3871,0,0,0,0
2016,2.5400000000000000e+02,1164,1369,0,0,0,0
2016,7.0500000000000000e+02,358,2523,0,0,0,0
2016,1.3300000000000000e+02,0,0,0,0,0,0
2016,3.3000000000000000e+01,0,0,13,710,0,0
2016,1.4300000000000000e+02,0,0,47,1069,0,0
2016,3.6000000000000000e+01,0,0,0,0,0,0
2016,7.5600000000000000e+02,405,4311,0,0,0,0
2016,6.6200000000000000e+02,7171,11239,488,4381,0,0
2016,1.9200000000000000e+02,0,0,0,0,0,0
2016,3.8200000000000000e+02,0,0,0,0,0,0
2016,3.2200000000000000e+02,0,0,0,0,0,0
2016,4.7800000000000000e+02,0,0,0,0,0,0
2016,3.5200000000000000e+02,0,0,0,0,0,0
2016,6.2800000000000000e+02,1726,10638,0,0,0,0
2016,2.9100000000000000e+02,0,0,189,12014,0,0
2016,4.9500000000000000e+02,0,0,0,0,0,0
2016,8.4500000000000000e+02,4106,6318,629,6705,0,0
2016,4.9800000000000000e+02,781,986,0,0,0,0
2016,3.1400000000000000e+02,0,0,0,0,0,0
2016,7.2000000000000000e+02,5568,5825,0,0,0,0
2016,7.2100000000000000e+02,3284,11851,71,4302,372,2903
2016,4.8500000000000000e+02,3630,4073,676,784,0,0
2016,2.7300000000000000e+02,1133,9555,0,0,0,0
2016,8.4600000000000000e+02,9109,22571,10,108,0,0
2016,8.4700000000000000e+02,0,0,0,0,0,0
2016,8.4800000000000000e+02,2541,5374,0,0,0,0
2016,9.1600000000000000e+02,956,8049,0,0,0,0
2016,9.3000000000000000e+02,504,1570,0,0,0,0
2016,9.5400000000000000e+02,5554,18799,0,0,0,0
2016,9.4300000000000000e+02,1261,1650,0,0,0,0
2016,9.4900000000000000e+02,20511,74785,406,13591,81,1350
2016,9.8000000000000000e+02,467,3531,0,0,0,0
2016,9.8100000000000000e+02,489,615,0,0,0,0
2016,1.0240000000000000e+03,1327,11922,0,0,0,0
2016,1.0170000000000000e+03,11,1601,0,0,0,0
2016,1.0000000000000000e+03,7566,21186,0,0,0,0
2016,1.0180000000000000e+03,12528,21257,847,1936,4,8
2016,1.0010000000000000e+03,0,0,0,0,0,0
2016,1.0070000000000000e+03,19884,28417,565,4200,0,0
2016,1.0080000000000000e+03,14601,18191,0,0,0,0
2016,1.0090000000000000e+03,9629,26274,85,7555,0,0
2016,1.0100000000000000e+03,7305,9093,0,0,0,0
2016,1.0110000000000000e+03,3260,5049,0,0,0,0
2016,1.0120000000000000e+03,5149,12586,0,0,0,0
2016,1.0130000000000000e+03,39051,53188,290,3739,0,0
2016,1.0410000000000000e+03,0,0,0,0,0,0
2016,1.0730000000000000e+03,2001,3580,211,762,0,0
2016,1.0870000000000000e+03,9666,21518,0,0,0,0
2016,1.1090000000000000e+03,5276,14508,0,0,,
2016,1.1100000000000000e+03,2184,5549,0,0,0,0
2016,1.1120000000000000e+03,489,1628,0,0,0,0
2016,7.8900000000000000e+02,0,0,0,0,0,0
2016,3.2600000000000000e+02,0,0,0,0,0,0
2016,4.4200000000000000e+02,2346,2346,0,0,0,0
2016,2.9400000000000000e+02,186,916,0,0,0,0
2016,3.7800000000000000e+02,27,69,0,0,0,0
2016,4.0200000000000000e+02,0,0,0,0,0,0
2016,2.9000000000000000e+01,0,0,0,0,0,0
2016,4.5000000000000000e+02,0,0,0,0,0,0
2016,6.5600000000000000e+02,1567,6209,118,2250,0,0
2016,3.3300000000000000e+02,0,3851,0,0,0,0
2016,6.6800000000000000e+02,738,2091,0,0,0,0
2016,6.8400000000000000e+02,345,2187,46,4119,0,0
2016,4.2200000000000000e+02,236,258,0,0,0,0
2016,7.6300000000000000e+02,12744,30932,0,0,0,0
