año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2017,6.9500000000000000e+02,0,0,0,0,0,0
2017,8.1600000000000000e+02,0,81440,0,81440,0,81440
2017,8.3300000000000000e+02,0,146325,0,146325,0,146325
2017,8.7000000000000000e+02,15518,452014,0,452014,0,467532
2017,9.2700000000000000e+02,0,68749,0,68749,0,68749
2017,9.6100000000000000e+02,0,0,0,0,0,0
2017,9.6200000000000000e+02,0,146943,0,146943,0,146943
2017,1.0790000000000000e+03,0,792,0,792,0,792
2017,1.1010000000000000e+03,0,0,0,0,0,0
2017,6.6600000000000000e+02,0,2869219,540597,2328622,0,2869219
2017,3.9200000000000000e+02,0,101736,15271,86465,0,101736
2017,7.9000000000000000e+02,0,4950524,0,4950524,0,4950524
2017,6.5000000000000000e+02,0,1097586,0,1097586,0,1097586
2017,8.7600000000000000e+02,0,0,0,0,1488883,1488883
2017,9.4400000000000000e+02,0,848975,0,848975,0,848975
2017,9.5200000000000000e+02,26020,917806,0,917806,0,943826
2017,5.4000000000000000e+01,0,0,0,0,0,0
2017,3.6700000000000000e+02,0,483109,0,483109,0,483109
2017,5.3800000000000000e+02,0,1404834,412674,992160,105541,1510375
2017,5.5700000000000000e+02,0,525847,0,525847,0,525847
2017,6.5300000000000000e+02,0,0,0,0,725952,725952
2017,6.4700000000000000e+02,0,327729,0,327729,0,327729
2017,9.7800000000000000e+02,0,994013,114074,879939,0,994013
2017,9.9600000000000000e+02,0,279698,0,279698,0,279698
2017,7.2900000000000000e+02,0,0,0,0,955320,955320
2017,1.8200000000000000e+02,0,0,0,0,230091,230091
2017,6.3300000000000000e+02,121366,2213708,1140743,1072965,0,2335074
2017,6.8500000000000000e+02,0,0,0,0,0,0
2017,6.8300000000000000e+02,0,71909,0,71909,0,71909
2017,9.4500000000000000e+02,13686,207003,0,207003,0,220689
2017,9.5300000000000000e+02,0,378520,0,378520,0,378520
2017,1.0220000000000000e+03,12796,89847,0,89847,0,102643
2017,1.0490000000000000e+03,6373,69493,0,69493,0,75866
2017,7.9400000000000000e+02,0,1642724,0,1642724,0,1642724
2017,4.1500000000000000e+02,0,1657468,0,1657468,0,1657468
2017,5.9200000000000000e+02,0,6383228,,6383228,0,6383228
2017,4.9700000000000000e+02,0,0,0,0,0,0
2017,4.5800000000000000e+02,9028,1374219,124032,1250187,0,1383247
2017,7.2600000000000000e+02,0,885692,0,885692,0,885692
2017,2.7200000000000000e+02,11130,208889,0,208889,0,220019
2017,8.0500000000000000e+02,805395,705913,0,705913,0,1511308
2017,2.3400000000000000e+02,39328,2413942,0,2413942,0,2453270
2017,6.4000000000000000e+01,0,0,0,0,0,0
2017,8.4200000000000000e+02,12500,32180,0,32180,0,44680
2017,8.4300000000000000e+02,0,0,0,0,0,0
2017,8.0300000000000000e+02,0,407250,0,407250,0,407250
2017,2.1100000000000000e+02,0,317000,0,317000,0,317000
2017,7.7300000000000000e+02,0,1256759,0,1256759,0,1256759
2017,4.2400000000000000e+02,0,152299,0,152299,0,152299
2017,2.9800000000000000e+02,8464,68748,0,68748,144136,221348
2017,5.9400000000000000e+02,0,1509003,2824,1506179,0,1509003
2017,2.3700000000000000e+02,25961,65365,0,65365,12575,103901
2017,1.6000000000000000e+01,0,10028,0,10028,0,10028
2017,7.6800000000000000e+02,88663,823546,0,823546,0,912209
2017,6.1700000000000000e+02,184826,945978,0,945978,0,1130804
2017,2.9700000000000000e+02,0,15444,0,15444,0,15444
2017,1.0500000000000000e+02,0,42576,0,42576,0,42576
2017,5.4400000000000000e+02,36331,217715,0,217715,78,254124
2017,8.0400000000000000e+02,78996,1535828,0,1535828,0,1614824
2017,1.0400000000000000e+02,0,137813,0,137813,0,137813
2017,2.0000000000000000e+01,0,0,0,0,1,1
2017,5.5000000000000000e+02,10364,384042,0,384042,0,394406
2017,1.1200000000000000e+02,0,1171460,0,1171460,0,1171460
2017,8.1800000000000000e+02,0,146425,0,146425,0,146425
2017,8.8200000000000000e+02,0,84397,0,84397,0,84397
2017,9.1400000000000000e+02,0,20880,0,20880,0,20880
2017,9.2800000000000000e+02,0,350996,0,350996,0,350996
2017,9.6400000000000000e+02,182288,3161811,0,3161811,53936,3398035
2017,1.0260000000000000e+03,0,25555,0,25555,0,25555
2017,1.0680000000000000e+03,0,64174,0,64174,0,64174
2017,1.1080000000000000e+03,30624,278713,0,278713,0,309337
2017,4.0400000000000000e+02,0,521225,0,521225,0,521225
2017,2.7000000000000000e+02,5146,332624,0,332624,0,337770
2017,6.7600000000000000e+02,0,100183,0,100183,0,100183
2017,7.0900000000000000e+02,0,41374,0,41374,0,41374
2017,7.5400000000000000e+02,0,4277510,0,4277510,0,4277510
2017,9.9700000000000000e+02,2230,92627,0,92627,0,94857
2017,1.0690000000000000e+03,0,153040,0,153040,0,153040
2017,1.1180000000000000e+03,59858,1399605,0,1399605,0,1459463
2017,7.3400000000000000e+02,0,752092,0,752092,0,752092
2017,2.9900000000000000e+02,0,231035,0,231035,0,231035
2017,6.4500000000000000e+02,4094,143682,0,143682,0,147776
2017,1.7000000000000000e+01,0,0,0,0,0,0
2017,1.0460000000000000e+03,0,63705,0,63705,0,63705
