año,NCODI,camas_instalada,incubadoras_instalada,paritorios_instalada,quirofanos_instalada,salasHemo_instalada,camas_funcionamiento,incubadoras_funcionamiento,paritorios_funcionamiento,quirofanos_funcionamiento,salasHemo_funcionamiento,salas_rx_Hospital,salas_rx_CEP,puesto_HDia_medico,puesto_HDia_psiquiatrico,puesto_HDia_geriatrico,integradasPuestos_HDia_CMA,propiasPuestos_HDia_CMA,propiasQuirofanos_HDia_CMA
2016,9.1800000000000000e+02,1106,45,6,39,3,1071,45,6,39,3,13,0,158,0,0,0,0,6
2016,9.2000000000000000e+01,56,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.5000000000000000e+01,165,0,0,0,0,165,0,0,0,0,0,0,0,0,24,0,0,0
2016,3.0100000000000000e+02,20,0,0,4,0,20,0,0,4,0,1,1,0,0,0,0,0,0
2016,4.9200000000000000e+02,120,2,1,6,0,98,2,1,6,0,3,0,17,0,0,0,11,1
2016,8.1100000000000000e+02,68,0,1,1,1,68,0,1,1,1,1,0,3,0,0,0,0,0
2016,8.1200000000000000e+02,85,0,0,1,0,85,0,0,1,0,0,0,40,0,0,0,0,0
2016,8.3200000000000000e+02,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
2016,8.4100000000000000e+02,12,0,0,0,0,12,0,0,0,0,0,0,0,0,25,0,0,0
2016,8.5600000000000000e+02,89,0,0,0,0,89,0,0,0,0,0,0,0,0,30,0,0,0
2016,8.5900000000000000e+02,90,0,0,0,0,90,0,0,0,0,0,0,0,25,0,0,0,0
2016,8.6100000000000000e+02,40,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
2016,8.8000000000000000e+02,93,0,0,0,0,92,0,0,0,0,0,0,0,0,40,0,0,0
2016,8.8300000000000000e+02,153,0,0,0,0,153,0,0,0,0,0,0,0,16,0,0,0,0
2016,8.8400000000000000e+02,141,0,0,0,0,104,0,0,0,0,0,0,0,0,30,0,0,0
2016,8.7700000000000000e+02,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.1100000000000000e+02,363,0,0,0,0,363,0,0,0,0,0,0,0,0,33,0,0,0
2016,9.1300000000000000e+02,28,0,0,0,0,28,0,0,0,0,0,0,0,20,0,0,0,0
2016,9.2200000000000000e+02,87,5,3,8,1,80,5,3,8,1,2,0,0,0,0,0,0,0
2016,9.2300000000000000e+02,84,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0
2016,9.2400000000000000e+02,46,0,0,0,0,46,0,0,0,0,0,0,29,0,0,0,0,0
2016,9.4700000000000000e+02,26,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
