año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2017,1.3700000000000000e+02,6435,0,0,0,6435
2017,7.6900000000000000e+02,0,0,0,0,0
2017,7.7600000000000000e+02,38250,3012,437,14,41713
2017,6.4000000000000000e+02,37003,3082,774,10,40869
2017,3.1500000000000000e+02,0,0,0,0,0
2017,4.0000000000000000e+01,0,0,0,0,0
2017,5.0800000000000000e+02,14220,2493,368,5,17086
2017,4.6000000000000000e+01,0,0,0,0,0
2017,5.9000000000000000e+02,28408,4706,629,18,33761
2017,7.7700000000000000e+02,26946,3818,649,14,31427
2017,8.9700000000000000e+02,104367,28488,128,101,133084
2017,9.6500000000000000e+02,0,0,0,0,0
2017,4.6100000000000000e+02,1800,47,27,0,1874
2017,3.7600000000000000e+02,11090,397,51,2,11540
2017,6.2100000000000000e+02,23187,3125,356,36,26704
2017,7.9300000000000000e+02,145993,23391,795,199,170378
2017,1.1020000000000000e+03,86989,1887,88,1,88965
2017,,1420,29,17,0,1466
2017,7.1200000000000000e+02,27898,5937,834,28,34697
2017,3.2000000000000000e+01,0,0,0,0,0
2017,3.6100000000000000e+02,0,0,0,0,0
2017,2.4500000000000000e+02,28390,3883,145,1,32419
2017,6.0300000000000000e+02,137384,4732,606,6,142728
2017,4.2600000000000000e+02,0,0,0,0,0
2017,2.3200000000000000e+02,23564,2434,32,0,26030
2017,2.8800000000000000e+02,20733,715,279,0,21727
2017,2.4600000000000000e+02,11676,657,0,30,12363
2017,2.8400000000000000e+02,13072,1880,8,16,14976
2017,1.8000000000000000e+01,0,0,0,0,0
2017,3.5600000000000000e+02,1065,950,0,0,2015
2017,4.0100000000000000e+02,0,0,0,0,0
2017,7.3300000000000000e+02,137593,19041,364,99,157097
2017,2.4300000000000000e+02,16350,1963,134,4,18451
2017,3.8000000000000000e+02,0,0,0,0,0
2017,7.1600000000000000e+02,0,0,0,0,0
2017,5.3400000000000000e+02,87785,2242,39,0,90066
2017,1.8500000000000000e+02,3597,236,6,0,3839
2017,2.5800000000000000e+02,16313,2066,0,0,18379
2017,5.0500000000000000e+02,5446,52,0,0,5498
2017,2.6800000000000000e+02,44037,2434,0,0,46471
2017,6.0200000000000000e+02,0,0,0,0,0
2017,2.5400000000000000e+02,31951,2105,68,1,34125
2017,7.0500000000000000e+02,55203,3120,134,4,58461
2017,1.3300000000000000e+02,8850,2054,10,0,10914
2017,3.3000000000000000e+01,0,0,0,0,0
