año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2017,9.4800000000000000e+02,57,67,124,0,0
2017,1.0510000000000000e+03,0,0,0,0,0
2017,1.0830000000000000e+03,0,0,0,0,0
2017,1.0960000000000000e+03,0,0,0,0,0
2017,6.7900000000000000e+02,1055,317,1434,127,0
2017,1.7600000000000000e+02,0,0,0,0,0
2017,5.3700000000000000e+02,0,0,0,0,0
2017,6.0800000000000000e+02,288,91,380,22,0
2017,5.9600000000000000e+02,172,42,214,10,0
2017,7.4900000000000000e+02,0,0,0,0,0
2017,7.5800000000000000e+02,3085,936,4120,190,0
2017,1.1040000000000000e+03,1368,464,1873,198,0
2017,5.6700000000000000e+02,0,0,0,0,0
2017,6.7700000000000000e+02,0,0,0,0,0
2017,6.7000000000000000e+02,0,0,0,0,0
2017,5.8800000000000000e+02,0,0,0,0,0
2017,7.5300000000000000e+02,4273,912,5335,552,0
2017,8.8700000000000000e+02,0,0,0,0,0
2017,1.1300000000000000e+02,0,0,0,0,0
2017,6.1900000000000000e+02,0,0,0,0,0
2017,1.6300000000000000e+02,0,0,0,0,0
2017,1.3100000000000000e+02,0,0,0,0,0
2017,3.7500000000000000e+02,0,0,0,0,0
2017,1.0900000000000000e+03,2233,286,2558,187,0
2017,7.6400000000000000e+02,1547,460,2048,222,0
2017,1.4000000000000000e+01,261,192,453,0,0
2017,6.5700000000000000e+02,255,138,395,20,0
2017,3.6200000000000000e+02,18,16,34,0,0
2017,9.8900000000000000e+02,256,56,320,63,0
2017,9.9000000000000000e+02,351,129,489,22,0
2017,6.8000000000000000e+02,1723,454,2231,276,0
2017,4.1100000000000000e+02,229,193,427,22,0
2017,2.4100000000000000e+02,108,255,365,18,0
2017,5.5800000000000000e+02,702,245,953,46,0
2017,1.6700000000000000e+02,0,1,1,0,0
2017,2.4800000000000000e+02,0,0,0,0,0
2017,2.2400000000000000e+02,139,50,189,4,0
2017,5.9100000000000000e+02,999,280,1327,206,0
2017,5.8600000000000000e+02,1009,257,1288,96,0
2017,4.5300000000000000e+02,0,0,0,0,0
2017,1.4500000000000000e+02,0,0,0,0,0
2017,5.1100000000000000e+02,718,286,1015,75,0
2017,5.3000000000000000e+02,1030,255,1284,79,0
2017,6.0000000000000000e+00,223,287,521,50,0
2017,1.6100000000000000e+02,0,0,0,0,0
2017,6.2300000000000000e+02,809,262,1075,104,0
2017,3.4900000000000000e+02,0,0,0,0,0
2017,8.7500000000000000e+02,0,0,0,0,0
2017,9.4600000000000000e+02,85,94,179,11,0
2017,1.0230000000000000e+03,986,273,1274,79,0
2017,1.0540000000000000e+03,798,303,1098,69,0
2017,1.0570000000000000e+03,0,0,0,0,0
2017,1.0310000000000000e+03,0,0,0,0,0
2017,1.0320000000000000e+03,1306,248,1576,122,0
2017,1.0640000000000000e+03,126,193,319,12,0
2017,2.2600000000000000e+02,297,182,478,12,0
2017,6.8700000000000000e+02,775,246,1011,50,0
2017,7.4500000000000000e+02,2362,600,3017,304,0
2017,1.0900000000000000e+02,404,194,604,3,0
2017,6.3900000000000000e+02,1101,286,1398,59,0
2017,4.5700000000000000e+02,0,0,0,0,0
2017,6.0900000000000000e+02,1350,786,2189,185,0
2017,1.0100000000000000e+02,0,0,0,0,0
2017,4.5400000000000000e+02,530,95,625,28,0
2017,3.1800000000000000e+02,0,0,0,0,0
2017,6.0000000000000000e+02,622,141,760,11,0
2017,5.4500000000000000e+02,1006,165,1196,100,0
2017,1.0000000000000000e+02,0,0,0,0,0
2017,7.0200000000000000e+02,767,244,1023,79,0
2017,7.7800000000000000e+02,864,281,1149,40,0
2017,3.4100000000000000e+02,0,0,0,0,0
2017,9.9000000000000000e+01,0,0,0,0,0
2017,7.6700000000000000e+02,0,0,0,0,0
2017,3.5900000000000000e+02,0,0,0,0,0
2017,9.8000000000000000e+01,0,0,0,0,0
2017,1.3200000000000000e+02,0,0,0,0,0
2017,9.7000000000000000e+01,0,0,0,0,0
2017,1.0300000000000000e+02,0,0,0,0,0
2017,1.1000000000000000e+02,0,0,0,0,0
2017,9.4000000000000000e+01,0,0,0,0,0
2017,9.1000000000000000e+01,0,0,0,0,0
2017,6.6400000000000000e+02,878,240,1139,60,0
2017,9.1800000000000000e+02,2050,823,2963,515,0
2017,9.2000000000000000e+01,0,0,0,0,0
2017,9.5000000000000000e+01,0,0,0,0,0
2017,3.0100000000000000e+02,0,0,0,0,0
2017,4.9200000000000000e+02,399,105,503,19,0
2017,8.1100000000000000e+02,555,226,791,47,0
2017,8.1200000000000000e+02,0,0,0,0,0
2017,8.3200000000000000e+02,0,0,0,0,0
2017,8.4100000000000000e+02,0,0,0,0,0
2017,8.5600000000000000e+02,0,0,0,0,0
2017,8.5900000000000000e+02,0,0,0,0,0
2017,8.6100000000000000e+02,0,0,0,0,0
2017,8.8000000000000000e+02,0,0,0,0,0
2017,8.8300000000000000e+02,0,0,0,0,0
2017,8.8400000000000000e+02,0,0,0,0,0
2017,8.7700000000000000e+02,0,0,0,0,0
2017,9.1100000000000000e+02,0,0,0,0,0
2017,9.1300000000000000e+02,0,0,0,0,0
2017,9.2200000000000000e+02,655,300,955,20,0
2017,9.2300000000000000e+02,0,0,0,0,0
2017,9.2400000000000000e+02,0,0,0,0,0
2017,9.4700000000000000e+02,0,0,0,0,0
2017,9.5100000000000000e+02,0,0,0,0,0
2017,1.1030000000000000e+03,0,0,0,0,0
2017,9.7200000000000000e+02,0,0,0,0,0
2017,9.7300000000000000e+02,0,0,0,0,0
2017,9.7400000000000000e+02,0,0,0,0,0
2017,9.7500000000000000e+02,0,0,0,0,0
2017,9.6000000000000000e+02,0,0,0,0,0
2017,1.0280000000000000e+03,0,0,0,0,0
2017,9.7600000000000000e+02,0,0,0,0,0
2017,9.7700000000000000e+02,0,0,0,0,0
2017,1.0200000000000000e+03,0,0,0,0,0
2017,9.9400000000000000e+02,733,153,899,55,0
2017,9.9500000000000000e+02,0,0,0,0,0
2017,1.0600000000000000e+03,0,0,0,0,0
2017,1.0050000000000000e+03,0,0,0,0,0
2017,1.0610000000000000e+03,0,0,0,0,0
2017,1.0620000000000000e+03,0,0,0,0,0
2017,1.0060000000000000e+03,0,0,0,0,0
